timestamp,position,altitude,heading
0,"51.809909136411875,107.4324289866742",0,303
6,"51.812080769770716,107.42714847667652",200,303
12,"51.81427889123864,107.42180245121857",400,303
18,"51.816503491866364,107.41639089127862",600,303
24,"51.8187545625932,107.41091377760159",800,303
30,"51.82103209424686,107.40537109069894",1000,303
36,"51.82333607754343,107.39976281084857",1200,303
42,"51.825666503087255,107.39408891809482",1400,303
48,"51.82802336137079,107.38834939224833",1600,303
54,"51.83040664277457,107.38254421288599",1800,303
60,"51.83281633756709,107.37667335935083",2000,303
66,"51.835252435904664,107.37073681075202",2200,303
72,"51.83771492783135,107.3647345459647",2400,303
78,"51.840203803278854,107.35866654362992",2600,303
84,"51.84271905206638,107.35253278215464",2800,303
90,"51.845260663900596,107.34633323971153",3000,303
96,"51.84782862837545,107.34006789423897",3200,303
102,"51.85042293497209,107.33373672344092",3400,303
108,"51.85304357305875,107.32733970478688",3600,303
114,"51.855690531890644,107.32087681551178",3800,303
120,"51.858363800609865,107.31434803261588",4000,303
126,"51.861063368245226,107.30775333286473",4200,303
132,"51.86378922371218,107.30109269278903",4400,303
138,"51.86654135581271,107.29436608868457",4600,303
144,"51.86931975323515,107.28757349661217",4800,303
150,"51.87212440455414,107.28071489239751",5000,303
156,"51.874955298230475,107.27379025163114",5200,303
162,"51.87781242261095,107.26679954966833",5400,303
168,"51.8806957659283,107.25974276162898",5600,303
174,"51.883605316301036,107.25261986239755",5800,303
180,"51.88654106173328,107.24543082662296",6000,303
186,"51.88950299011476,107.2381756287185",6200,303
192,"51.89249108922053,107.2308542428617",6400,303
198,"51.89550534671096,107.2234666429943",6600,303
204,"51.89854575013155,107.21601280282212",6800,303
210,"51.90161228691279,107.20849269581497",7000,303
216,"51.90470494437006,107.20090629520655",7200,303
222,"51.907823709703464,107.19325357399437",7400,303
228,"51.910968569997735,107.1855345049396",7600,303
234,"51.914139512222064,107.17774906056705",7800,303
240,"51.917336523229956,107.16989721316502",8000,303
246,"51.92055958975912,107.16197893478521",8200,303
252,"51.92380869843131,107.15399419724264",8400,303
258,"51.927083835752164,107.14594297211552",8600,303
264,"51.93038498811113,107.13782523074518",8800,303
270,"51.93371214178124,107.12964094423594",9000,303
276,"51.93706528291903,107.12139008345501",9200,303
282,"51.94044439756432,107.11307261903242",9400,303
288,"51.94384947164014,107.1046885213609",9600,303
294,"51.94728049095255,107.09623776059574",9800,303
300,"51.95073744119048,107.08772030665475",10000,303
306,"51.9542203079256,107.0791361292181",10200,303
312,"51.95772907661215,107.07048519772826",10400,303
318,"51.96126373258678,107.06176748138986",10600,303
324,"51.96482426106841,107.05298294916962",10800,303
330,"51.96841064715809,107.04413156979618",11000,303
336,"51.972022875838796,107.03521331176005",11200,303
342,"51.97566093197531,107.02622814331349",11400,303
348,"51.97932480031404,107.0171760324704",11600,303
354,"51.98301446548286,107.00805694700621",11800,303
360,"51.98672991199097,106.99887085445775",12000,303
366,"51.9904711242287,106.98961772212317",12200,303
372,"51.994238086467355,106.98029751706183",12400,303
378,"51.998030782859054,106.97091020609416",12600,303
384,"52.001849197436556,106.96145575580158",12800,303
390,"52.00569331411313,106.95193413252638",13000,303
396,"52.0095631166823,106.94234530237159",13200,303
402,"52.01345858881774,106.93268923120091",13400,303
408,"52.0173797140731,106.92296588463854",13600,303
414,"52.02132647588179,106.91317522806912",13800,303
420,"52.02529885755687,106.90331722663758",14000,303
426,"52.029296842290776,106.89339184524904",14200,303
432,"52.03332041315525,106.8833990485687",14400,303
438,"52.0373695531011,106.87333880102173",14600,303
444,"52.041444244958015,106.86321106679313",14800,303
450,"52.04554447143441,106.85301580982762",15000,303
456,"52.04967021511724,106.84275299382959",15200,303
462,"52.053821458471774,106.83242258226286",15400,303
468,"52.0579981838415,106.82202453835069",15600,303
474,"52.06220037344782,106.81155882507556",15800,303
480,"52.066428009389966,106.80102540517915",16000,303
486,"52.07068107364475,106.79042424116211",16200,303
492,"52.07495954806639,106.77975529528408",16400,303
498,"52.07926341438632,106.76901852956344",16600,303
504,"52.08359265421301,106.75821390577725",16800,303
510,"52.08794724903176,106.74734138546118",17000,303
516,"52.092327180204464,106.7364009299093",17200,303
522,"52.0967324289695,106.72539250017398",17400,303
528,"52.10116297644145,106.71431605706587",17600,303
534,"52.105618803610945,106.70317156115367",17800,302
540,"52.110099891344454,106.69195897276401",18000,302
546,"52.114606220384076,106.68067825198142",18200,302
552,"52.11913777134734,106.66932935864813",18400,302
558,"52.12369452472699,106.65791225236397",18600,302
564,"52.128276460890824,106.64642689248629",18800,302
570,"52.13288356008141,106.63487323812976",19000,302
576,"52.13751580241594,106.62325124816633",19200,302
582,"52.14217316788601,106.61156088122506",19400,302
588,"52.14685563635737,106.59980209569204",19600,302
594,"52.151563187569785,106.5879748497102",19800,302
600,"52.156295801136714,106.57607910117927",20000,302
606,"52.161053456545204,106.5641148077556",20200,302
612,"52.16583613315561,106.55208192685207",20400,302
618,"52.1706438102014,106.53998041563796",20600,302
624,"52.17547646678891,106.5278102310388",20800,302
630,"52.18033408189716,106.51557132973633",21000,302
636,"52.18521663437759,106.50326366816829",21200,302
642,"52.190124102953895,106.49088720252833",21400,302
648,"52.19505646622174,106.47844188876589",21600,302
654,"52.2000137026486,106.4659276825861",21800,302
660,"52.20499579057344,106.45334453944965",22000,302
666,"52.210002708206574,106.44069241457262",22200,302
